provider_event_id,bank_transaction_id,bank_reference,direction,amount_minor,currency,occurred_at
bt-SW-00029,BANKTXN-SW-00029,SYNTHUTRSW00032,CREDIT,2055323,INR,2026-07-02T10:35:00+00:00
bt-SW-00030,BANKTXN-SW-00030,SYNTHUTRSW00033,CREDIT,1371842,INR,2026-07-02T10:35:00+00:00
bt-SW-00031,BANKTXN-SW-00031,SYNTHUTRSW00034,CREDIT,1371843,INR,2026-07-02T10:35:00+00:00
bt-SW-00032,BANKTXN-SW-00032,SYNTHUTRSW00035,CREDIT,2768094,INR,2026-07-02T10:35:00+00:00
bt-SW-00033,BANKTXN-SW-00033,SYNTHUTRSW00036,CREDIT,2768095,INR,2026-07-02T10:35:00+00:00
bt-SW-00034,BANKTXN-SW-00034,SYNTHUTRSW00037,CREDIT,1240028,INR,2026-07-02T10:35:00+00:00
bt-SW-00035,BANKTXN-SW-00035,SYNTHUTRSW00038,CREDIT,1240028,INR,2026-07-02T10:35:00+00:00
bt-SW-00036,BANKTXN-SW-00036,SYNTHUTRSW00039,CREDIT,4227812,INR,2026-07-02T10:35:00+00:00
bt-SW-00037,BANKTXN-SW-00037,SYNTHUTRSW00040,CREDIT,4227812,INR,2026-07-02T10:35:00+00:00
bt-SW-00038,BANKTXN-SW-00038,SYNTHUTRSW00041,CREDIT,883642,INR,2026-07-02T10:35:00+00:00
bt-SW-00039,BANKTXN-SW-00039,SYNTHUTRSW00042,CREDIT,883642,INR,2026-07-02T10:35:00+00:00
bt-SW-00040,BANKTXN-SW-00040,SYNTHUTRSW00043,CREDIT,703008,INR,2026-07-02T10:35:00+00:00
bt-SW-00041,BANKTXN-SW-00041,SYNTHUTRSW00044,CREDIT,703008,INR,2026-07-02T10:35:00+00:00
bt-SW-00042,BANKTXN-SW-00042,SYNTHUTRSW00045,CREDIT,2533758,INR,2026-07-02T10:35:00+00:00
bt-SW-00043,BANKTXN-SW-00043,SYNTHUTRSW00046,CREDIT,2533758,INR,2026-07-02T10:35:00+00:00
bt-SW-00044,BANKTXN-SW-00044,SYNTHUTRSW00047,CREDIT,3578506,INR,2026-07-02T10:35:00+00:00
bt-SW-00045,BANKTXN-SW-00045,SYNTHUTRSW00048,CREDIT,3578506,INR,2026-07-02T10:35:00+00:00
bt-SW-00046,BANKTXN-SW-00046,SYNTHUTRSW00049,CREDIT,1015456,INR,2026-07-02T10:35:00+00:00
bt-SW-00047,BANKTXN-SW-00047,SYNTHUTRSW00050,CREDIT,1015457,INR,2026-07-02T10:35:00+00:00
bt-SW-00048,BANKTXN-SW-00048,SYNTHUTRSW00051,CREDIT,2958492,INR,2026-07-02T10:35:00+00:00
bt-SW-00049,BANKTXN-SW-00049,SYNTHUTRSW00052,CREDIT,2958493,INR,2026-07-02T10:35:00+00:00
bt-SW-00050,BANKTXN-SW-00050,SYNTHUTRSW00053,CREDIT,2143198,INR,2026-07-02T10:35:00+00:00
bt-SW-00051,BANKTXN-SW-00051,SYNTHUTRSW00054,CREDIT,2143199,INR,2026-07-02T10:35:00+00:00
bt-SW-00052,BANKTXN-SW-00052,SYNTHUTRSW00055,CREDIT,4325452,INR,2026-07-02T10:35:00+00:00
bt-SW-00053,BANKTXN-SW-00053,SYNTHUTRSW00056,CREDIT,2558168,INR,2026-07-02T10:35:00+00:00
bt-SW-00054,BANKTXN-SW-00054,SYNTHUTRSW00057,CREDIT,1176562,INR,2026-07-02T10:35:00+00:00
bt-SW-00055,BANKTXN-SW-00055,SYNTHUTRSW00058,CREDIT,3803078,INR,2026-07-02T10:35:00+00:00
bt-SW-00056,BANKTXN-SW-00056,SYNTHUTRSW00059,CREDIT,2397062,INR,2026-07-02T10:35:00+00:00
