provider_event_id,payout_id,merchant_id,net_minor,currency,utr,occurred_at
po-SW-00032-1,payout-SW-00032,SYNTH-MERCHANT-SW-00032,2055323,INR,SYNTHUTRSW00032,2026-07-02T10:00:00+00:00
po-SW-00033-1,payout-SW-00033,SYNTH-MERCHANT-SW-00033,1371842,INR,SYNTHUTRSW00033,2026-07-02T10:00:00+00:00
po-SW-00034-1,payout-SW-00034,SYNTH-MERCHANT-SW-00034,1371843,INR,SYNTHUTRSW00034,2026-07-02T10:00:00+00:00
po-SW-00035-1,payout-SW-00035,SYNTH-MERCHANT-SW-00035,2768094,INR,SYNTHUTRSW00035,2026-07-02T10:00:00+00:00
po-SW-00036-1,payout-SW-00036,SYNTH-MERCHANT-SW-00036,2768095,INR,SYNTHUTRSW00036,2026-07-02T10:00:00+00:00
po-SW-00037-1,payout-SW-00037,SYNTH-MERCHANT-SW-00037,1240028,INR,SYNTHUTRSW00037,2026-07-02T10:00:00+00:00
po-SW-00038-1,payout-SW-00038,SYNTH-MERCHANT-SW-00038,1240028,INR,SYNTHUTRSW00038,2026-07-02T10:00:00+00:00
po-SW-00039-1,payout-SW-00039,SYNTH-MERCHANT-SW-00039,4227812,INR,SYNTHUTRSW00039,2026-07-02T10:00:00+00:00
po-SW-00040-1,payout-SW-00040,SYNTH-MERCHANT-SW-00040,4227812,INR,SYNTHUTRSW00040,2026-07-02T10:00:00+00:00
po-SW-00041-1,payout-SW-00041,SYNTH-MERCHANT-SW-00041,883642,INR,SYNTHUTRSW00041,2026-07-02T10:00:00+00:00
po-SW-00042-1,payout-SW-00042,SYNTH-MERCHANT-SW-00042,883642,INR,SYNTHUTRSW00042,2026-07-02T10:00:00+00:00
po-SW-00043-1,payout-SW-00043,SYNTH-MERCHANT-SW-00043,703008,INR,SYNTHUTRSW00043,2026-07-02T10:00:00+00:00
po-SW-00044-1,payout-SW-00044,SYNTH-MERCHANT-SW-00044,703008,INR,SYNTHUTRSW00044,2026-07-02T10:00:00+00:00
po-SW-00045-1,payout-SW-00045,SYNTH-MERCHANT-SW-00045,2533758,INR,SYNTHUTRSW00045,2026-07-02T10:00:00+00:00
po-SW-00046-1,payout-SW-00046,SYNTH-MERCHANT-SW-00046,2533758,INR,SYNTHUTRSW00046,2026-07-02T10:00:00+00:00
po-SW-00047-1,payout-SW-00047,SYNTH-MERCHANT-SW-00047,3578506,INR,SYNTHUTRSW00047,2026-07-02T10:00:00+00:00
po-SW-00048-1,payout-SW-00048,SYNTH-MERCHANT-SW-00048,3578506,INR,SYNTHUTRSW00048,2026-07-02T10:00:00+00:00
po-SW-00049-1,payout-SW-00049,SYNTH-MERCHANT-SW-00049,1015456,INR,SYNTHUTRSW00049,2026-07-02T10:00:00+00:00
po-SW-00050-1,payout-SW-00050,SYNTH-MERCHANT-SW-00050,1015457,INR,SYNTHUTRSW00050,2026-07-02T10:00:00+00:00
po-SW-00051-1,payout-SW-00051,SYNTH-MERCHANT-SW-00051,2958492,INR,SYNTHUTRSW00051,2026-07-02T10:00:00+00:00
po-SW-00052-1,payout-SW-00052,SYNTH-MERCHANT-SW-00052,2958493,INR,SYNTHUTRSW00052,2026-07-02T10:00:00+00:00
po-SW-00053-1,payout-SW-00053,SYNTH-MERCHANT-SW-00053,2143198,INR,SYNTHUTRSW00053,2026-07-02T10:00:00+00:00
po-SW-00054-1,payout-SW-00054,SYNTH-MERCHANT-SW-00054,2143199,INR,SYNTHUTRSW00054,2026-07-02T10:00:00+00:00
po-SW-00055-1,payout-SW-00055,SYNTH-MERCHANT-SW-00055,4325452,INR,SYNTHUTRSW00055,2026-07-02T10:00:00+00:00
po-SW-00056-1,payout-SW-00056,SYNTH-MERCHANT-SW-00056,2558168,INR,SYNTHUTRSW00056,2026-07-02T10:00:00+00:00
po-SW-00057-1,payout-SW-00057,SYNTH-MERCHANT-SW-00057,1176562,INR,SYNTHUTRSW00057,2026-07-02T10:00:00+00:00
po-SW-00058-1,payout-SW-00058,SYNTH-MERCHANT-SW-00058,3803078,INR,SYNTHUTRSW00058,2026-07-02T10:00:00+00:00
po-SW-00059-1,payout-SW-00059,SYNTH-MERCHANT-SW-00059,2397062,INR,SYNTHUTRSW00059,2026-07-02T10:00:00+00:00
