provider_event_id,event_id,payment_id,merchant_id,event_type,amount_minor,currency,occurred_at
pe-SW-00019-1,evt-SW-00019-1,pay-SW-00019,SYNTH-MERCHANT-SW-00019,CAPTURE,430000,INR,2026-07-01T09:00:00+00:00
pe-SW-00020-1,evt-SW-00020-1,pay-SW-00020,SYNTH-MERCHANT-SW-00020,CAPTURE,430000,INR,2026-07-01T09:00:00+00:00
pe-SW-00021-1,evt-SW-00021-1,pay-SW-00021,SYNTH-MERCHANT-SW-00021,CAPTURE,3940000,INR,2026-07-01T09:00:00+00:00
pe-SW-00022-1,evt-SW-00022-1,pay-SW-00022,SYNTH-MERCHANT-SW-00022,CAPTURE,3940000,INR,2026-07-01T09:00:00+00:00
pe-SW-00023-1,evt-SW-00023-1,pay-SW-00023,SYNTH-MERCHANT-SW-00023,CAPTURE,1250000,INR,2026-07-01T09:00:00+00:00
pe-SW-00024-1,evt-SW-00024-1,pay-SW-00024,SYNTH-MERCHANT-SW-00024,CAPTURE,1250000,INR,2026-07-01T09:00:00+00:00
pe-SW-00025-1,evt-SW-00025-1,pay-SW-00025,SYNTH-MERCHANT-SW-00025,CAPTURE,4070000,INR,2026-07-01T09:00:00+00:00
pe-SW-00026-1,evt-SW-00026-1,pay-SW-00026,SYNTH-MERCHANT-SW-00026,CAPTURE,4070000,INR,2026-07-01T09:00:00+00:00
pe-SW-00026-2,evt-SW-00026-2,pay-SW-00026,SYNTH-MERCHANT-SW-00026,CAPTURE,4070000,INR,2026-07-01T09:30:00+00:00
pe-SW-00027-1,evt-SW-00027-1,pay-SW-00027,SYNTH-MERCHANT-SW-00027,CAPTURE,285000,INR,2026-07-01T09:00:00+00:00
pe-SW-00028-1,evt-SW-00028-1,pay-SW-00028,SYNTH-MERCHANT-SW-00028,CAPTURE,285000,INR,2026-07-01T09:00:00+00:00
pe-SW-00028-2,evt-SW-00028-2,pay-SW-00028,SYNTH-MERCHANT-SW-00028,CAPTURE,285000,INR,2026-07-01T09:30:00+00:00
pe-SW-00029-1,evt-SW-00029-1,pay-SW-00029,SYNTH-MERCHANT-SW-00029,CAPTURE,2930000,INR,2026-07-01T09:00:00+00:00
pe-SW-00030-1,evt-SW-00030-1,pay-SW-00030,SYNTH-MERCHANT-SW-00030,CAPTURE,2930000,INR,2026-07-01T09:00:00+00:00
pe-SW-00030-2,evt-SW-00030-2,pay-SW-00030,SYNTH-MERCHANT-SW-00030,CAPTURE,2930000,INR,2026-07-01T09:30:00+00:00
pe-SW-00031-1,evt-SW-00031-1,pay-SW-00031,SYNTH-MERCHANT-SW-00031,CAPTURE,2105000,INR,2026-07-01T09:00:00+00:00
pe-SW-00032-1,evt-SW-00032-1,pay-SW-00032,SYNTH-MERCHANT-SW-00032,CAPTURE,2105000,INR,2026-07-01T09:00:00+00:00
pe-SW-00033-1,evt-SW-00033-1,pay-SW-00033,SYNTH-MERCHANT-SW-00033,CAPTURE,1405000,INR,2026-07-01T09:00:00+00:00
pe-SW-00034-1,evt-SW-00034-1,pay-SW-00034,SYNTH-MERCHANT-SW-00034,CAPTURE,1405000,INR,2026-07-01T09:00:00+00:00
pe-SW-00035-1,evt-SW-00035-1,pay-SW-00035,SYNTH-MERCHANT-SW-00035,CAPTURE,2835000,INR,2026-07-01T09:00:00+00:00
pe-SW-00036-1,evt-SW-00036-1,pay-SW-00036,SYNTH-MERCHANT-SW-00036,CAPTURE,2835000,INR,2026-07-01T09:00:00+00:00
pe-SW-00037-1,evt-SW-00037-1,pay-SW-00037,SYNTH-MERCHANT-SW-00037,CAPTURE,1270000,INR,2026-07-01T09:00:00+00:00
pe-SW-00038-1,evt-SW-00038-1,pay-SW-00038,SYNTH-MERCHANT-SW-00038,CAPTURE,1270000,INR,2026-07-01T09:00:00+00:00
pe-SW-00038-2,evt-SW-00038-2,pay-SW-00038,SYNTH-MERCHANT-SW-00038,REFUND,317500,INR,2026-06-30T21:00:00+00:00
pe-SW-00039-1,evt-SW-00039-1,pay-SW-00039,SYNTH-MERCHANT-SW-00039,CAPTURE,4330000,INR,2026-07-01T09:00:00+00:00
pe-SW-00040-1,evt-SW-00040-1,pay-SW-00040,SYNTH-MERCHANT-SW-00040,CAPTURE,4330000,INR,2026-07-01T09:00:00+00:00
pe-SW-00040-2,evt-SW-00040-2,pay-SW-00040,SYNTH-MERCHANT-SW-00040,REFUND,1082500,INR,2026-06-30T21:00:00+00:00
pe-SW-00041-1,evt-SW-00041-1,pay-SW-00041,SYNTH-MERCHANT-SW-00041,CAPTURE,905000,INR,2026-07-01T09:00:00+00:00
pe-SW-00042-1,evt-SW-00042-1,pay-SW-00042,SYNTH-MERCHANT-SW-00042,CAPTURE,905000,INR,2026-07-01T09:00:00+00:00
pe-SW-00042-2,evt-SW-00042-2,pay-SW-00042,SYNTH-MERCHANT-SW-00042,REFUND,226250,INR,2026-06-30T21:00:00+00:00
pe-SW-00043-1,evt-SW-00043-1,pay-SW-00043,SYNTH-MERCHANT-SW-00043,CAPTURE,720000,INR,2026-07-01T09:00:00+00:00
pe-SW-00044-1,evt-SW-00044-1,pay-SW-00044,SYNTH-MERCHANT-SW-00044,CAPTURE,720000,INR,2026-07-01T09:00:00+00:00
pe-SW-00044-2,evt-SW-00044-2,pay-SW-00044,SYNTH-MERCHANT-SW-00044,REFUND,180000,INR,2026-07-01T21:00:00+00:00
pe-SW-00045-1,evt-SW-00045-1,pay-SW-00045,SYNTH-MERCHANT-SW-00045,CAPTURE,2595000,INR,2026-07-01T09:00:00+00:00
pe-SW-00046-1,evt-SW-00046-1,pay-SW-00046,SYNTH-MERCHANT-SW-00046,CAPTURE,2595000,INR,2026-07-01T09:00:00+00:00
pe-SW-00046-2,evt-SW-00046-2,pay-SW-00046,SYNTH-MERCHANT-SW-00046,REFUND,648750,INR,2026-07-01T21:00:00+00:00
pe-SW-00047-1,evt-SW-00047-1,pay-SW-00047,SYNTH-MERCHANT-SW-00047,CAPTURE,3665000,INR,2026-07-01T09:00:00+00:00
pe-SW-00048-1,evt-SW-00048-1,pay-SW-00048,SYNTH-MERCHANT-SW-00048,CAPTURE,3665000,INR,2026-07-01T09:00:00+00:00
pe-SW-00048-2,evt-SW-00048-2,pay-SW-00048,SYNTH-MERCHANT-SW-00048,REFUND,916250,INR,2026-07-01T21:00:00+00:00
pe-SW-00049-1,evt-SW-00049-1,pay-SW-00049,SYNTH-MERCHANT-SW-00049,CAPTURE,1040000,INR,2026-07-01T09:00:00+00:00
pe-SW-00050-1,evt-SW-00050-1,pay-SW-00050,SYNTH-MERCHANT-SW-00050,CAPTURE,1040000,INR,2026-07-01T09:00:00+00:00
pe-SW-00051-1,evt-SW-00051-1,pay-SW-00051,SYNTH-MERCHANT-SW-00051,CAPTURE,3030000,INR,2026-07-01T09:00:00+00:00
pe-SW-00052-1,evt-SW-00052-1,pay-SW-00052,SYNTH-MERCHANT-SW-00052,CAPTURE,3030000,INR,2026-07-01T09:00:00+00:00
pe-SW-00053-1,evt-SW-00053-1,pay-SW-00053,SYNTH-MERCHANT-SW-00053,CAPTURE,2195000,INR,2026-07-01T09:00:00+00:00
pe-SW-00054-1,evt-SW-00054-1,pay-SW-00054,SYNTH-MERCHANT-SW-00054,CAPTURE,2195000,INR,2026-07-01T09:00:00+00:00
pe-SW-00055-1,evt-SW-00055-1,pay-SW-00055,SYNTH-MERCHANT-SW-00055,CAPTURE,4430000,INR,2026-07-01T09:00:00+00:00
pe-SW-00056-1,evt-SW-00056-1,pay-SW-00056,SYNTH-MERCHANT-SW-00056,CAPTURE,2620000,INR,2026-07-01T09:00:00+00:00
pe-SW-00057-1,evt-SW-00057-1,pay-SW-00057,SYNTH-MERCHANT-SW-00057,CAPTURE,1205000,INR,2026-07-01T09:00:00+00:00
pe-SW-00058-1,evt-SW-00058-1,pay-SW-00058,SYNTH-MERCHANT-SW-00058,CAPTURE,3895000,INR,2026-07-01T09:00:00+00:00
pe-SW-00059-1,evt-SW-00059-1,pay-SW-00059,SYNTH-MERCHANT-SW-00059,CAPTURE,2455000,INR,2026-07-01T09:00:00+00:00
